attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg1_from_lat,leg1_from_lng,leg1_to_lat,leg1_to_lng,leg1_from_scheduledTime,leg1_to_scheduledTime,leg2_mode,leg2_length,leg2_duration,leg2_from_lat,leg2_from_lng,leg2_to_lat,leg2_to_lng,leg2_from_scheduledTime,leg2_to_scheduledTime,leg3_mode,leg3_length,leg3_duration,leg3_from_lat,leg3_from_lng,leg3_to_lat,leg3_to_lng,leg3_from_scheduledTime,leg3_to_scheduledTime,leg4_mode,leg4_length,leg4_duration,leg4_from_lat,leg4_from_lng,leg4_to_lat,leg4_to_lng,leg4_from_scheduledTime,leg4_to_scheduledTime,leg5_mode,leg5_length,leg5_duration,leg5_from_lat,leg5_from_lng,leg5_to_lat,leg5_to_lng,leg5_from_scheduledTime,leg5_to_scheduledTime,leg6_mode,leg6_length,leg6_duration,leg6_from_lat,leg6_from_lng,leg6_to_lat,leg6_to_lng,leg6_from_scheduledTime,leg6_to_scheduledTime,leg7_mode,leg7_length,leg7_duration,leg7_from_lat,leg7_from_lng,leg7_to_lat,leg7_to_lng,leg7_from_scheduledTime,leg7_to_scheduledTime,leg8_mode,leg8_length,leg8_duration,leg8_from_lat,leg8_from_lng,leg8_to_lat,leg8_to_lng,leg8_from_scheduledTime,leg8_to_scheduledTime,leg9_mode,leg9_length,leg9_duration,leg9_from_lat,leg9_from_lng,leg9_to_lat,leg9_to_lng,leg9_from_scheduledTime,leg9_to_scheduledTime,leg10_mode,leg10_length,leg10_duration,leg10_from_lat,leg10_from_lng,leg10_to_lat,leg10_to_lng,leg10_from_scheduledTime,leg10_to_scheduledTime,total_duration,total_length,leg11_mode,leg11_length,leg11_duration,leg11_from_lat,leg11_from_lng,leg11_to_lat,leg11_to_lng,leg11_from_scheduledTime,leg11_to_scheduledTime,leg12_mode,leg12_length,leg12_duration,leg12_from_lat,leg12_from_lng,leg12_to_lat,leg12_to_lng,leg12_from_scheduledTime,leg12_to_scheduledTime,leg13_mode,leg13_length,leg13_duration,leg13_from_lat,leg13_from_lng,leg13_to_lat,leg13_to_lng,leg13_from_scheduledTime,leg13_to_scheduledTime,leg14_mode,leg14_length,leg14_duration,leg14_from_lat,leg14_from_lng,leg14_to_lat,leg14_to_lng,leg14_from_scheduledTime,leg14_to_scheduledTime,leg15_mode,leg15_length,leg15_duration,leg15_from_lat,leg15_from_lng,leg15_to_lat,leg15_to_lng,leg15_from_scheduledTime,leg15_to_scheduledTime,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,leg14_carbon,leg15_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,leg14_cost,leg15_cost,calculated_total_cost
A00001,dep,3,WALK,2.1396599999999997,27.15,52.341383,6.9447933,52.328694,6.948448,2025-05-17T08:47:51+02:00,2025-05-17T09:15:00+02:00,BUS,3.26815,6.0,52.328694,6.948448,52.306542,6.93494,2025-05-17T09:15:00+02:00,2025-05-17T09:21:00+02:00,WALK,0.24918,3.45,52.306542,6.93494,52.306204,6.934005,2025-05-17T09:21:00+02:00,2025-05-17T09:24:27+02:00,RAIL,10.89649,10.0,52.306204,6.934005,52.2620213,6.7929304,2025-05-17T09:33:00+02:00,2025-05-17T09:43:00+02:00,RAIL,132.41178,89.0,52.2620213,6.7929304,52.0899869,5.109934,2025-05-17T09:54:00+02:00,2025-05-17T11:23:00+02:00,WALK,0.19712000000000002,2.933333333333333,52.0899869,5.109934,52.0896856,5.1090611,2025-05-17T11:23:00+02:00,2025-05-17T11:25:56+02:00,RAIL,80.00296,47.0,52.0896856,5.1090611,51.4428473,5.4804826,2025-05-17T11:39:00+02:00,2025-05-17T12:26:00+02:00,WALK,0.45792,6.15,51.4428473,5.4804826,51.443663,5.478553,2025-05-17T12:26:00+02:00,2025-05-17T12:32:09+02:00,BUS,7.16484,17.0,51.443663,5.478553,51.497783,5.453287,2025-05-17T12:40:00+02:00,2025-05-17T12:57:00+02:00,WALK,2.39898,30.766666666666666,51.497783,5.453287,51.4998731,5.4332325,2025-05-17T12:57:00+02:00,2025-05-17T13:27:46+02:00,239.45,239.18708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,343.15575,0.0,446.75609,5428.882979999999,0.0,3280.12136,0.0,752.3081999999999,0.0,0.0,0.0,0.0,0.0,0.0,10251.22438,0.0,0.65363,0.0,1.6344735,19.861766999999997,0.0,12.000444,0.0,1.432968,0.0,0.0,0.0,0.0,0.0,0.0,35.5832825
A00002,dep,1,BICYCLE,7.98875,28.716666666666665,51.4899267,5.3659198,51.4998731,5.4332325,2025-05-17T14:42:17+02:00,2025-05-17T15:11:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.716666666666665,7.98875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00003,dep,1,BICYCLE,4.92878,19.516666666666666,51.5080511,5.3882542,51.4998731,5.4332325,2025-05-17T14:42:29+02:00,2025-05-17T15:02:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.516666666666666,4.92878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00004,dep,1,BICYCLE,39.788940000000004,139.98333333333332,51.6183551,5.0057386,51.4998731,5.4332325,2025-05-17T11:47:01+02:00,2025-05-17T14:07:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.98333333333332,39.788940000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00005,dep,1,BICYCLE,19.55435,69.56666666666666,51.4368308,5.5873893,51.4998731,5.4332325,2025-05-17T15:55:26+02:00,2025-05-17T17:05:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.56666666666666,19.55435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00006,dep,2,WALK,3.16996,40.166666666666664,52.9327723,7.0645499,52.916432,7.046773,2025-05-17T09:35:50+02:00,2025-05-17T10:16:00+02:00,BUS,23.83685,40.0,52.916432,7.046773,52.790529,6.899125,2025-05-17T10:16:00+02:00,2025-05-17T10:56:00+02:00,WALK,0.18806,2.8666666666666667,52.790529,6.899125,52.7906207,6.8998057,2025-05-17T10:56:00+02:00,2025-05-17T10:58:52+02:00,RAIL,75.00341,53.0,52.7906207,6.8998057,52.5047655,6.0932153,2025-05-17T11:15:00+02:00,2025-05-17T12:08:00+02:00,WALK,0.16293000000000002,2.45,52.5047655,6.0932153,52.504903,6.0914218,2025-05-17T12:08:00+02:00,2025-05-17T12:10:27+02:00,RAIL,87.86362,50.0,52.504903,6.0914218,52.0899869,5.109934,2025-05-17T12:19:00+02:00,2025-05-17T13:09:00+02:00,WALK,0.19712000000000002,2.933333333333333,52.0899869,5.109934,52.0896856,5.1090611,2025-05-17T13:09:00+02:00,2025-05-17T13:11:56+02:00,RAIL,80.00296,49.0,52.0896856,5.1090611,51.4429706,5.4804289,2025-05-17T13:24:00+02:00,2025-05-17T14:13:00+02:00,WALK,0.45775,6.15,51.4429706,5.4804289,51.443663,5.478553,2025-05-17T14:13:00+02:00,2025-05-17T14:19:09+02:00,BUS,7.16484,17.0,51.443663,5.478553,51.497783,5.453287,2025-05-17T14:25:00+02:00,2025-05-17T14:42:00+02:00,294.33333333333326,280.44648,WALK,2.39898,30.766666666666666,51.497783,5.453287,51.4998731,5.4332325,2025-05-17T14:42:00+02:00,2025-05-17T15:12:46+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2502.8692499999997,0.0,3075.13981,0.0,3602.4084199999998,0.0,3280.12136,0.0,752.3081999999999,0.0,0.0,0.0,0.0,0.0,13212.84704,0.0,4.76737,0.0,11.2505115,0.0,13.179542999999999,0.0,12.000444,0.0,1.432968,0.0,0.0,0.0,0.0,0.0,42.6308365
A00007,dep,1,BICYCLE,3.4557800000000003,13.083333333333334,51.4879829,5.4418452,51.4998731,5.4332325,2025-05-17T15:33:55+02:00,2025-05-17T15:47:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.083333333333334,3.4557800000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00008,dep,4,WALK,2.27567,29.7,52.21884,6.8598147,52.2222986,6.8895811,2025-05-17T09:15:18+02:00,2025-05-17T09:45:00+02:00,RAIL,140.78885,98.0,52.2222986,6.8895811,52.0899869,5.109934,2025-05-17T09:45:00+02:00,2025-05-17T11:23:00+02:00,WALK,0.19712000000000002,2.933333333333333,52.0899869,5.109934,52.0896856,5.1090611,2025-05-17T11:23:00+02:00,2025-05-17T11:25:56+02:00,RAIL,80.00296,47.0,52.0896856,5.1090611,51.4428473,5.4804826,2025-05-17T11:39:00+02:00,2025-05-17T12:26:00+02:00,WALK,0.45792,6.15,51.4428473,5.4804826,51.443663,5.478553,2025-05-17T12:26:00+02:00,2025-05-17T12:32:09+02:00,BUS,7.16484,17.0,51.443663,5.478553,51.497783,5.453287,2025-05-17T12:40:00+02:00,2025-05-17T12:57:00+02:00,WALK,2.39898,30.766666666666666,51.497783,5.453287,51.4998731,5.4332325,2025-05-17T12:57:00+02:00,2025-05-17T13:27:46+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.55,233.28634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5772.34285,0.0,3280.12136,0.0,752.3081999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9804.77241,0.0,21.1183275,0.0,12.000444,0.0,1.432968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.551739500000004
A00009,dep,1,BICYCLE,14.555549999999998,52.583333333333336,51.4251121,5.5362239,51.4998731,5.4332325,2025-05-17T15:37:25+02:00,2025-05-17T16:30:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.583333333333336,14.555549999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00010,dep,1,BICYCLE,13.79461,48.7,51.4149054,5.4054042,51.4998731,5.4332325,2025-05-17T14:00:18+02:00,2025-05-17T14:49:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,13.79461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00011,dep,1,BICYCLE,8.430719999999999,30.066666666666666,51.4560907,5.4167811,51.4998731,5.4332325,2025-05-17T19:36:56+02:00,2025-05-17T20:07:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.066666666666666,8.430719999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00012,dep,1,WALK,2.51409,32.36666666666667,52.0004231,4.6561271,52.006092,4.675334,2025-05-17T14:02:38+02:00,2025-05-17T14:35:00+02:00,BUS,4.41877,17.0,52.006092,4.675334,52.016861,4.707275,2025-05-17T14:35:00+02:00,2025-05-17T14:52:00+02:00,WALK,0.16418000000000002,2.9833333333333334,52.016861,4.707275,52.0172917,4.7056782,2025-05-17T14:52:00+02:00,2025-05-17T14:54:59+02:00,RAIL,32.298880000000004,18.0,52.0172917,4.7056782,52.0898433,5.1095008,2025-05-17T14:59:00+02:00,2025-05-17T15:17:00+02:00,WALK,0.17565999999999998,2.6666666666666665,52.0898433,5.1095008,52.0896856,5.1090611,2025-05-17T15:17:00+02:00,2025-05-17T15:19:40+02:00,RAIL,80.00296,49.0,52.0896856,5.1090611,51.4429706,5.4804289,2025-05-17T15:24:00+02:00,2025-05-17T16:13:00+02:00,WALK,0.45775,6.15,51.4429706,5.4804289,51.443663,5.478553,2025-05-17T16:13:00+02:00,2025-05-17T16:19:09+02:00,BUS,7.16484,17.0,51.443663,5.478553,51.497783,5.453287,2025-05-17T16:25:00+02:00,2025-05-17T16:42:00+02:00,WALK,2.39898,30.766666666666666,51.497783,5.453287,51.4998731,5.4332325,2025-05-17T16:42:00+02:00,2025-05-17T17:12:46+02:00,,,,,,,,,,175.93333333333334,129.59611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,463.97085000000004,0.0,1324.2540800000002,0.0,3280.12136,0.0,752.3081999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5820.654490000001,0.0,0.8837540000000002,0.0,4.844832,0.0,12.000444,0.0,1.432968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.161998
A00013,dep,1,CAR,111.43521000000001,75.93333333333334,51.5856561,4.163407,51.4998731,5.4332325,2025-05-17T15:35:04+02:00,2025-05-17T16:51:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93333333333334,111.43521000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21395.560320000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21395.560320000004,47.359964250000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.359964250000004
A00014,dep,1,BICYCLE,62.97385,219.45,51.8944786,5.6570109,51.4998731,5.4332325,2025-05-17T12:37:33+02:00,2025-05-17T16:17:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.45,62.97385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00015,dep,1,WALK,1.13061,14.883333333333333,53.0207701,5.6428768,53.018453,5.654757,2025-05-17T08:51:07+02:00,2025-05-17T09:06:00+02:00,BUS,25.05696,23.0,53.018453,5.654757,52.960599,5.916883,2025-05-17T09:06:00+02:00,2025-05-17T09:29:00+02:00,WALK,0.13393,2.05,52.960599,5.916883,52.960715,5.9153277,2025-05-17T09:29:00+02:00,2025-05-17T09:31:03+02:00,RAIL,152.53244,96.0,52.960715,5.9153277,52.0899869,5.109934,2025-05-17T10:03:00+02:00,2025-05-17T11:39:00+02:00,WALK,0.19712000000000002,2.933333333333333,52.0899869,5.109934,52.0896856,5.1090611,2025-05-17T11:39:00+02:00,2025-05-17T11:41:56+02:00,RAIL,80.00296,49.0,52.0896856,5.1090611,51.4429706,5.4804289,2025-05-17T11:54:00+02:00,2025-05-17T12:43:00+02:00,WALK,0.45775,6.15,51.4429706,5.4804289,51.443663,5.478553,2025-05-17T12:43:00+02:00,2025-05-17T12:49:09+02:00,BUS,7.16484,17.0,51.443663,5.478553,51.497783,5.453287,2025-05-17T12:55:00+02:00,2025-05-17T13:12:00+02:00,WALK,2.39898,30.766666666666666,51.497783,5.453287,51.4998731,5.4332325,2025-05-17T13:12:00+02:00,2025-05-17T13:42:46+02:00,,,,,,,,,,241.78333333333336,269.07559000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2630.9808,0.0,6253.830040000001,0.0,3280.12136,0.0,752.3081999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12917.240399999999,0.0,5.011392000000001,0.0,22.879866,0.0,12.000444,0.0,1.432968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.324670000000005
A00016,dep,1,BICYCLE,31.84351,112.66666666666667,51.7049486,5.3440263,51.4998731,5.4332325,2025-05-17T11:24:20+02:00,2025-05-17T13:17:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.66666666666667,31.84351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00017,dep,1,BICYCLE,51.90176,180.5,51.5634288,4.7997394,51.4998731,5.4332325,2025-05-17T13:55:30+02:00,2025-05-17T16:56:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5,51.90176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00018,dep,1,BICYCLE,12.8062,46.666666666666664,51.4665355,5.5574775,51.4998731,5.4332325,2025-05-17T17:00:20+02:00,2025-05-17T17:47:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.666666666666664,12.8062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00019,dep,1,BICYCLE,60.19392,206.58333333333334,51.3839796,6.1413704,51.4998731,5.4332325,2025-05-17T12:00:25+02:00,2025-05-17T15:27:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.58333333333334,60.19392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00020,dep,1,BICYCLE,2.47775,9.716666666666667,51.4972196,5.4059842,51.4998731,5.4332325,2025-05-17T12:51:17+02:00,2025-05-17T13:01:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716666666666667,2.47775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
