attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,total_duration,total_length,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00052,ret,1,WALK,2.53727,32.983333333333334,BUS,7.9465,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,265.96666666666664,285.0005,WALK,0.17661000000000002,2.683333333333333,RAIL,87.86362,49.0,WALK,0.21542,3.3833333333333333,RAIL,75.00341,53.0,WALK,0.15242,2.316666666666667,BUS,20.194200000000002,16.0,WALK,0.07157,1.1333333333333333,BUS,8.767520000000001,12.0,WALK,1.88863,23.916666666666668,0.0,834.3825,0.0,3280.12136,0.0,3602.4084199999998,0.0,3075.13981,0.0,2120.391,0.0,920.5896000000001,0.0,13833.032689999998,0.0,1.5893000000000002,0.0,12.000444,0.0,13.179542999999999,0.0,11.2505115,0.0,4.03884,0.0,1.7535040000000004,0.0,43.8121425
A00053,ret,1,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,113.71001,67.0,165.01666666666665,154.8182,WALK,0.15663999999999997,2.566666666666667,BUS,28.25395,35.86666666666667,WALK,1.0343499999999999,13.233333333333333,,,,,,,,,,,,,,,,,,,0.0,1019.9259000000001,0.0,4662.11041,0.0,2966.66475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8648.70106,0.0,1.942716,0.0,17.0565015,0.0,5.650790000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6500075
A00054,ret,1,BICYCLE,22.702360000000002,81.86666666666666,,,,,,,,,,81.86666666666666,22.702360000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00055,ret,1,WALK,11.07705,142.48333333333332,,,,,,,,,,142.48333333333332,11.07705,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00056,ret,1,WALK,6.997739999999999,89.75,,,,,,,,,,89.75,6.997739999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00057,ret,1,WALK,2.16248,28.066666666666666,,,,,,,,,,28.066666666666666,2.16248,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00058,ret,1,WALK,13.68776,175.2,,,,,,,,,,175.2,13.68776,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00059,ret,1,BICYCLE,49.74939,173.31666666666666,,,,,,,,,,173.31666666666666,49.74939,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00060,ret,1,CAR,143.07326,98.88333333333334,,,,,,,,,,98.88333333333334,143.07326,,,,,,,,,,,,,,,,,,,,,,,,,,,,27470.06592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27470.06592,60.8061355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8061355
A00062,ret,1,CAR,137.88406,89.46666666666667,,,,,,,,,,89.46666666666667,137.88406,,,,,,,,,,,,,,,,,,,,,,,,,,,,26473.739520000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26473.739520000003,58.6007255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6007255
A00063,ret,1,CAR,148.38115,92.4,,,,,,,,,,92.4,148.38115,,,,,,,,,,,,,,,,,,,,,,,,,,,,28489.1808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28489.1808,63.06198875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06198875
A00064,ret,1,CAR,135.53541,87.6,,,,,,,,,,87.6,135.53541,,,,,,,,,,,,,,,,,,,,,,,,,,,,26022.798720000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26022.798720000003,57.60254925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.60254925
A00065,ret,1,BICYCLE,68.23003999999999,235.1,,,,,,,,,,235.1,68.23003999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00066,ret,1,WALK,7.48762,94.71666666666667,,,,,,,,,,94.71666666666667,7.48762,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00067,ret,1,BICYCLE,55.16615,188.56666666666666,,,,,,,,,,188.56666666666666,55.16615,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00068,ret,1,BICYCLE,25.60617,91.51666666666667,,,,,,,,,,91.51666666666667,25.60617,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00069,ret,1,BICYCLE,25.681669999999997,88.95,,,,,,,,,,88.95,25.681669999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00071,ret,1,CAR,85.4294,59.0,,,,,,,,,,59.0,85.4294,,,,,,,,,,,,,,,,,,,,,,,,,,,,16402.4448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16402.4448,36.307495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.307495
A00072,ret,1,BICYCLE,32.500299999999996,114.33333333333333,,,,,,,,,,114.33333333333333,32.500299999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00073,ret,1,BICYCLE,16.29129,59.15,,,,,,,,,,59.15,16.29129,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00074,ret,1,BICYCLE,19.430310000000002,70.38333333333334,,,,,,,,,,70.38333333333334,19.430310000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00075,ret,1,BICYCLE,31.22481,111.06666666666666,,,,,,,,,,111.06666666666666,31.22481,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00076,ret,1,BICYCLE,46.933099999999996,161.6,,,,,,,,,,161.6,46.933099999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00077,ret,1,CAR,97.86357000000001,67.6,,,,,,,,,,67.6,97.86357000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,18789.805440000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18789.805440000004,41.592017250000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.592017250000005
A00078,ret,1,WALK,3.34556,43.016666666666666,BUS,0.47482,1.0,WALK,1.32025,17.816666666666666,RAIL,21.831709999999998,17.0,203.83333333333331,142.91819999999998,WALK,0.31516000000000005,4.716666666666667,RAIL,61.832620000000006,43.0,WALK,0.12185,1.9666666666666666,RAIL,52.009190000000004,54.0,WALK,1.6670399999999999,21.316666666666666,,,,,,,,,,,,,0.0,49.856100000000005,0.0,895.1001099999999,0.0,2535.13742,0.0,2132.3767900000003,0.0,0.0,0.0,0.0,0.0,5612.47042,0.0,0.094964,0.0,3.2747564999999996,0.0,9.274893,0.0,7.8013785,0.0,0.0,0.0,0.0,0.0,20.445992
A00079,ret,1,CAR,152.82609,96.86666666666666,,,,,,,,,,96.86666666666666,152.82609,,,,,,,,,,,,,,,,,,,,,,,,,,,,29342.609279999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29342.609279999997,64.95108825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.95108825
A00080,ret,1,CAR,150.44182999999998,105.26666666666667,,,,,,,,,,105.26666666666667,150.44182999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,28884.831359999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28884.831359999996,63.93777774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.93777774999999
A00081,ret,1,CAR,93.55479,64.31666666666666,,,,,,,,,,64.31666666666666,93.55479,,,,,,,,,,,,,,,,,,,,,,,,,,,,17962.519679999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17962.519679999998,39.76078575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.76078575
A00083,ret,1,BICYCLE,28.086509999999997,97.46666666666667,,,,,,,,,,97.46666666666667,28.086509999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00084,ret,1,CAR,251.81563,156.11666666666667,,,,,,,,,,156.11666666666667,251.81563,,,,,,,,,,,,,,,,,,,,,,,,,,,,48348.600959999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48348.600959999996,107.02164275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.02164275
A00085,ret,1,CAR,164.04496,103.43333333333334,,,,,,,,,,103.43333333333334,164.04496,,,,,,,,,,,,,,,,,,,,,,,,,,,,31496.63232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31496.63232,69.719108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.719108
A00086,ret,1,WALK,3.49999,45.05,,,,,,,,,,45.05,3.49999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00087,ret,1,BICYCLE,44.62957,156.06666666666666,,,,,,,,,,156.06666666666666,44.62957,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00088,ret,1,WALK,9.64125,121.78333333333333,,,,,,,,,,121.78333333333333,9.64125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00089,ret,1,CAR,127.7455,91.9,,,,,,,,,,91.9,127.7455,,,,,,,,,,,,,,,,,,,,,,,,,,,,24527.136000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24527.136000000002,54.2918375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2918375
A00090,ret,1,BICYCLE,64.06869,223.1,,,,,,,,,,223.1,64.06869,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00091,ret,1,WALK,14.31551,181.61666666666667,,,,,,,,,,181.61666666666667,14.31551,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00092,ret,1,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,146.71666666666667,123.93693000000002,WALK,0.06036,0.8833333333333333,RAIL,29.375049999999998,16.0,WALK,2.8353099999999998,37.483333333333334,,,,,,,,,,,,,,,,,,,0.0,1019.9259000000001,0.0,3280.12136,0.0,1204.3770499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5504.42431,0.0,1.942716,0.0,12.000444,0.0,4.4062575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3494175
A00093,ret,1,WALK,6.82546,87.76666666666667,,,,,,,,,,87.76666666666667,6.82546,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00094,ret,1,CAR,133.76992,92.88333333333334,,,,,,,,,,92.88333333333334,133.76992,,,,,,,,,,,,,,,,,,,,,,,,,,,,25683.824640000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25683.824640000003,56.852216000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.852216000000006
A00095,ret,1,BICYCLE,60.30963,208.28333333333333,,,,,,,,,,208.28333333333333,60.30963,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00096,ret,1,WALK,3.2508000000000004,41.8,,,,,,,,,,41.8,3.2508000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00097,ret,1,BICYCLE,21.02168,76.1,,,,,,,,,,76.1,21.02168,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00098,ret,1,CAR,207.70434,130.23333333333332,,,,,,,,,,130.23333333333332,207.70434,,,,,,,,,,,,,,,,,,,,,,,,,,,,39879.23328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39879.23328,88.2743445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.2743445
A00099,ret,1,CAR,71.23064,52.516666666666666,,,,,,,,,,52.516666666666666,71.23064,,,,,,,,,,,,,,,,,,,,,,,,,,,,13676.282879999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13676.282879999999,30.273021999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.273021999999997
A00100,ret,1,WALK,3.01655,38.9,,,,,,,,,,38.9,3.01655,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
